"code","latest_ecp","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"ACCT3105","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94556","","","S1      ","S1      ","S1      ","S1      ","","S1      ","S1      ","S1      ","S1      "
"ACCT3106","","","","","","","","","","","",""
"ACCT4101","","","","","","","","","","","",""
"ACCT6101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99979","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ACCT6102","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92476","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ACCT6103","","","","","","","","","","","",""
"ACCT7101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97197","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT6104","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97143","","S1      ","S1      ","S1      ","  S2    ","  S2    ","","","","",""
"ACCT7102","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99702","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT7104","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97205","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT7103","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99751","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2SS  ","S1  SS  ","S1  SS  ","S1  SS  ","S1  SS  "
"ACCT7105","","","","","","","","","","","",""
"ACCT7106","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97175","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","  S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT7107","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95964","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"ACCT7108","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=73682","","","","","","S1      ","","S1      ","S1      ","S1      ","S1      "
"ACCT7109","","","","","","","","","","","",""
"ACCT7700","","","","","","","","","","","",""
"ADVT2509","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99312","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ADVT2511","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90629","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ADVT3505","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91790","","  S2    ","  S2    ","  S2    ","  S2    ","S1      ","S1      ","S1      ","  S2    ","  S2    ","  S2    "
"ADVT3507","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100518","","S1      ","S1      ","S1      ","S1      ","  S2    ","  S2    ","  S2    ","S1      ","S1      ","S1      "
"ADVT3508","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98075","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ADVT2506","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97374","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"ACCT7804","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100934","","S1S2    ","S1S2    ","S1S2SS  ","S1S2SS  ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1      ","S1      "
"ADVT7506","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95970","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1      ","S1      ","S1      ","S1      ","",""
"ADVT7507","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99752","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"ADVT3506","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91235","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ADVT7508","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95671","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","",""
"ADVT7509","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91963","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"ADVT7510","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93172","","  S2    ","  S2    ","  S2    ","  S2    ","","","","","",""
"ADVT2510","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92469","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"ADVT7512","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95958","","S1      ","S1      ","S1      ","S1      ","","","","","",""
"ADVT7513","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94401","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AERO1000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=37827","","","","","","","","","","","    SS  "
"AERO3110","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=81165","","","","","  S2    ","  S2    ","  S2    ","  S2    ","","",""
"AERO4100","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91297","","  S2    ","  S2    ","  S2    ","","","","","  S2    ","  S2    ","  S2    "
"AERO4200","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96773","","S1      ","S1      ","S1      ","  S2    ","  S2    ","  S2    ","  S2    ","","",""
"AERO4300","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93190","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","",""
"AERO4470","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99972","","S1      ","S1      ","S1      ","","","","","","",""
"AERO4800","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90676","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AERO4810","","","","","","","","","","","",""
"AERO7300","","","  S2    ","","","","","","","","",""
"AGRC1009","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=49041","","","","","","","","","S1S2    ","S1S2    ","S1S2    "
"AGRC1010","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=66820","","","","","","","  S2    ","  S2    ","  S2    ","S1      ","S1      "
"AERO4450","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97409","","S1      ","S1      ","S1      ","","","","","","",""
"AGRC1012","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97992","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC1014","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=82866","","","","","S1      ","S1      ","S1      ","S1      ","S1      ","  S2    ","  S2    "
"AGRC1015","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=47860","","","","","","","","","S1      ","S1      ","S1      "
"AGRC1016","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94917","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC1018","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=55534","","","","","","","","","  S2    ","S1      ","S1      "
"AGRC1020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94608","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"AGRC1011","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=42567","","","","","","","","","  S2    ","  S2    ","  S2    "
"AGRC1021","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98683","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","",""
"AGRC1019","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=46481","","","","","","","","","  S2    ","  S2    ","  S2    "
"AGRC1023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98566","","S1      ","S1      ","S1      ","S1      ","","","","","",""
"AGRC1024","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93095","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AGRC1032","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=101136","","S1      ","  S2    ","  S2    ","  S2    ","","","","","",""
"AGRC1041","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93730","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","",""
"AGRC1022","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=81763","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"AGRC1120D","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","","","",""
"AGRC1125D","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","","","",""
"AGRC1130D","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","",""
"AGRC1040","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99828","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","","","",""
"AGRC1135D","","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1      ","  S2    ","","","",""
"AGRC1140D","","","S1S2    ","S1S2    ","S1S2    ","S1      ","S1      ","","","","",""
"AGRC1031","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91857","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","",""
"AGRC1145D","","","S1      ","S1      ","S1      ","S1      ","S1      ","","","","",""
"AGRC1150D","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","","",""
"AGRC1155D","","","S1      ","S1      ","S1      ","S1      ","  S2    ","","","","",""
"AGRC1160D","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","","",""
"AGRC1165D","","","S1      ","S1      ","S1      ","  S2    ","  S2    ","","","","",""
"AGRC1909C","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=49314","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC2013","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94255","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC2001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=98667","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC2000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94839","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC2009","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=42745","","","","","","","","","","S1      ","S1      "
"AGRC2020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=61257","","","","","","","","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC2015","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=42753","","","","","","","","","","S1S2    ","S1S2    "
"AGRC2019","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=82811","","","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC2023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97978","","S1      ","S1      ","S1      ","S1      ","S1      ","","","","",""
"AGRC2030","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93140","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","","",""
"AGRC2031","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95585","","    SS  ","    SS  ","    SS  ","    SS  ","","","","","",""
"AGRC2040","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90599","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","",""
"AGRC2042","","","","","","","","","","","",""
"AGRC2043","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=83630","","","","","  S2    ","","","","","",""
"AGRC2045","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93720","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AGRC3002","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92389","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC3000","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95013","","  S2    ","  S2    ","  S2    ","  S2    ","S1S2    ","S1      ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC2601","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=82809","","","","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    ","S1S2    "
"AGRC3007","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=47591","","","","","","","","","S1      ","S1      ","S1      "
"AGRC3006","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93581","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC3017","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=75196","","","","","","  S2    ","  S2    ","","","",""
"AGRC3023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94921","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","S1      ","S1      ","S1      ","S1      "
"AGRC3020","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=58552","","","","","","","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC3024","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=68984","","","","","","","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC3026","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=60934","","","","","","","","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC3027","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=92993","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC3029","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=88397","","","","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2    ","  S2    ","  S2    "
"AGRC3030","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=88398","","","","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2    ","  S2    ","  S2    "
"AGRC3031","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=67706","","","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC3032","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=82661","","","","","S1S2    ","S1S2    ","S1S2    ","S1S2    ","","",""
"AGRC3028","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=86844","","","","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2SS  ","  S2    ","  S2    ","  S2    "
"AGRC3035","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97337","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1S2    ","S1S2    ","",""
"AGRC3037","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97921","","S1      ","S1      ","S1      ","","","","","","",""
"AGRC3041","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91298","","  S2    ","  S2    ","  S2    ","  S2    ","","","","","",""
"AGRC3042","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96036","","S1      ","S1      ","S1      ","S1      ","","","","","",""
"AGRC3050","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96079","","S1      ","S1      ","  S2    ","  S2    ","  S2    ","","","","",""
"AGRC3036","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=96952","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","","","",""
"AGRC3040","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95291","","  S2    ","  S2    ","","","","","","","",""
"AGRC3054","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99579","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","","","","",""
"AGRC3518","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=63745","","","","","","","","  S2    ","","",""
"AGRC3602","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95572","","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2SS  ","S1S2    ","S1S2SS  "
"AGRC3702","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=91909","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AGRC4100","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100354","","S1      ","S1      ","S1      ","","","","","","",""
"AGRC3051","","","","","","","","","","","",""
"AGRC4101","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93790","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AGRC4611","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=89599","","","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC4612","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=83539","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC4613","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=86107","","","","S1S2    ","S1S2    ","","","","","",""
"AGRC4614","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99847","","S1      ","S1      ","S1      ","S1      ","","","","","",""
"AGRC4616","","","  S2    ","","","","","","","","",""
"AGRC4615","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=93180","","  S2    ","  S2    ","  S2    ","  S2    ","","","","","",""
"AGRC6001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97925","","S1      ","S1      ","S1      ","  S2    ","S1      ","S1      ","S1      ","","",""
"AGRC4617","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=100946","","","    SS  ","","","","","","","",""
"AGRC6002","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=94288","","  S2    ","  S2    ","  S2    ","","  S2    ","  S2    ","  S2    ","","",""
"AGRC6003","","","","","","","","","","","",""
"AGRC6004","","","","","","","","","","","",""
"AGRC6100","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=83237","","","","","S1S2    ","","","","","",""
"AGRC6005","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97944","","S1S2    ","S1S2    ","S1S2    ","S1      ","S1S2    ","S1S2    ","","","",""
"AGRC6200","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=83240","","","","","  S2    ","","","","","",""
"AGRC6300","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=83557","","","","S1S2    ","S1S2    ","","","","","",""
"AGRC6613","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=47105","","","","","","","","","S1      ","S1      ","S1      "
"AGRC6617","","","","","","","","","","","",""
"AGRC6614","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=33408","","","","","","","","","  S2    ","  S2    ","  S2    "
"AGRC6618","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=46711","","","","","","","","","S1S2    ","S1      ","S1      "
"AGRC6619","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=45370","","","","","","","","","  S2    ","  S2    ","S1S2    "
"AGRC6622","","","","","","","","","S1      ","S1      ","S1      ","S1      "
"AGRC6623","","","","","","","","","","","",""
"AGRC6641","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95416","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","S1S2    ","S1S2    ","S1S2    "
"AGRC6642","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=95588","","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","    SS  ","S1S2SS  ","S1S2    ","S1S2    "
"AGRC6631","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99174","","S1S2    ","S1S2    ","S1S2    ","","S1S2    ","S1S2    ","S1S2    ","","",""
"AGRC6651","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=90819","","  S2    ","  S2    ","  S2    ","","","","","","",""
"AGRC6650","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=97167","","S1      ","S1      ","S1      ","","","","","","",""
"AGRC7005","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=99082","","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      ","S1      "
"AGRC7001","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=52328","","","","","","","","S1      ","S1S2    ","  S2    ","S1S2    "
"AGRC7023","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=63234","","","","","","","","S1      ","S1      ","S1      ","S1      "
"AGRC7008","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=73569","","","","","","S1      ","S1      ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC7027","","","","","","","","","","","",""
"AGRC7029","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=43990","","","","","","","","","","  S2    ",""
"AGRC7028","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=43588","","","","","","","","","","S1      ",""
"AGRC7030","","","","","","","","","  S2    ","  S2    ","",""
"AGRC7035","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=60127","","","","","","","","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC7025","","","","","","","","","","","",""
"AGRC7037","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=66200","","","  S2    ","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
"AGRC7038","https://www.courses.uq.edu.au/student_section_loader.php?section=1&profileId=73104","","","","","","  S2    ","  S2    ","  S2    ","  S2    ","  S2    ","  S2    "
